time,user_id,ip,video_id,platform
2025-02-20 00:00:00.000,1964,115.140.58.148,18318,android
2025-02-20 00:00:02.750,2223,228.214.166.91,84713,android
2025-02-20 00:00:05.750,1126,184.57.115.70,35616,iphone
2025-02-20 00:00:09.750,582,174.114.79.137,55926,iphone
2025-02-20 00:00:15.250,1282,218.35.171.234,11527,android
2025-02-20 00:00:21.500,2240,7.179.90.92,10277,iphone
2025-02-20 00:00:24.500,1359,11.89.58.164,27630,android
2025-02-20 00:00:25.000,211,220.93.254.11,73588,iphone
2025-02-20 00:00:26.250,619,90.153.167.0,25566,android
2025-02-20 00:00:31.500,460,127.93.69.238,11527,android
2025-02-20 00:00:34.250,295,118.50.63.221,73786,iphone
2025-02-20 00:00:39.750,1941,232.58.21.148,45613,android
2025-02-20 00:00:40.000,786,125.139.190.109,54188,android
2025-02-20 00:00:40.750,1042,153.47.216.30,35616,android
2025-02-20 00:00:42.500,968,154.138.88.138,11527,iphone
2025-02-20 00:00:46.250,50,144.16.17.125,46605,iphone
2025-02-20 00:00:51.250,877,147.157.226.204,70143,iphone
2025-02-20 00:00:53.000,52,167.22.202.130,78541,android
2025-02-20 00:00:58.250,1471,186.89.224.105,84094,android
2025-02-20 00:01:02.250,315,254.35.235.92,54188,android
2025-02-20 00:01:06.500,510,159.98.8.8,63698,iphone
2025-02-20 00:01:08.500,840,99.52.28.114,13663,android
2025-02-20 00:01:09.000,666,40.78.244.187,83899,android
2025-02-20 00:01:12.500,1962,88.148.243.135,99129,android
2025-02-20 00:01:17.750,1437,200.205.116.16,73588,android
2025-02-20 00:01:18.500,827,92.230.75.201,55523,iphone
2025-02-20 00:01:19.000,2100,195.48.32.84,35616,android
2025-02-20 00:01:20.000,131,137.206.106.129,64392,iphone
2025-02-20 00:01:22.750,1740,208.160.55.124,44862,android
2025-02-20 00:01:26.000,1355,227.73.108.146,61440,android
2025-02-20 00:01:26.500,543,215.167.98.199,60808,android
2025-02-20 00:01:27.750,506,80.57.249.136,53947,android
2025-02-20 00:01:34.250,112,103.190.249.79,19961,iphone
2025-02-20 00:01:36.500,691,131.64.35.107,12468,iphone
2025-02-20 00:01:39.000,1867,60.142.87.240,77794,iphone
2025-02-20 00:01:42.750,1543,185.106.86.233,86108,iphone
2025-02-20 00:01:48.500,2019,56.38.73.32,50324,android
2025-02-20 00:01:49.750,100,175.174.18.36,21505,android
2025-02-20 00:01:53.500,1814,253.184.185.123,29859,iphone
2025-02-20 00:01:53.750,1994,130.155.22.148,33533,iphone
2025-02-20 00:01:54.750,1917,148.156.199.148,44862,android
2025-02-20 00:01:56.000,744,78.14.5.35,81879,iphone
2025-02-20 00:02:00.750,1654,177.223.205.68,80855,android
2025-02-20 00:02:03.750,1309,86.244.71.186,60808,iphone
2025-02-20 00:02:04.250,725,211.27.170.212,95945,iphone
2025-02-20 00:02:04.500,483,65.141.77.246,18318,iphone
2025-02-20 00:02:05.750,1760,209.67.105.179,27630,android
2025-02-20 00:02:11.250,718,98.172.156.101,27630,iphone
2025-02-20 00:02:12.250,243,192.58.192.155,46715,android
2025-02-20 00:02:13.500,1740,194.204.160.50,47841,android
2025-02-20 00:02:14.000,1159,113.132.244.190,83155,iphone
2025-02-20 00:02:14.750,1863,65.38.180.166,32501,android
2025-02-20 00:02:15.500,1748,87.10.160.49,27669,android
2025-02-20 00:02:18.250,2407,19.162.215.177,72424,android
2025-02-20 00:02:21.750,275,164.236.169.135,47841,iphone
2025-02-20 00:02:23.750,431,116.128.118.116,86108,iphone
2025-02-20 00:02:27.750,1188,116.218.207.170,62875,iphone
2025-02-20 00:02:32.000,946,239.128.185.204,15464,android
2025-02-20 00:02:41.250,1448,225.203.117.203,36471,android
2025-02-20 00:02:43.500,2125,175.152.207.85,13333,android
2025-02-20 00:02:48.000,1626,188.222.148.193,95945,iphone
2025-02-20 00:02:48.250,1009,171.225.164.40,65523,android
2025-02-20 00:02:49.750,1504,115.158.9.147,80855,iphone
2025-02-20 00:02:50.250,1101,118.187.15.195,26064,android
2025-02-20 00:02:52.000,938,4.93.1.13,51192,iphone
2025-02-20 00:02:52.250,93,195.131.43.238,51192,iphone
2025-02-20 00:02:53.250,733,156.56.37.70,30188,iphone
2025-02-20 00:02:57.750,1465,215.106.98.5,84713,iphone
2025-02-20 00:02:57.750,1103,229.129.216.192,18318,android
2025-02-20 00:02:57.750,171,75.68.203.106,13333,android
2025-02-20 00:03:00.750,2037,237.90.88.1,78934,android
2025-02-20 00:03:01.500,1455,155.53.175.178,61715,iphone
2025-02-20 00:03:03.000,90,53.137.240.100,92313,android
2025-02-20 00:03:03.250,579,100.121.127.78,16849,android
2025-02-20 00:03:03.250,1663,208.36.88.65,29859,android
2025-02-20 00:03:03.500,998,30.124.195.109,21474,iphone
2025-02-20 00:03:04.250,166,153.239.154.104,86921,iphone
2025-02-20 00:03:06.000,1056,72.6.79.57,21505,android
2025-02-20 00:03:08.250,367,246.73.87.130,83155,iphone
2025-02-20 00:03:11.750,1859,69.230.113.19,60977,android
2025-02-20 00:03:14.500,2280,254.57.83.17,61440,iphone
2025-02-20 00:03:20.750,1098,129.37.206.202,72242,iphone
2025-02-20 00:03:21.500,1957,109.24.102.131,83155,android
